User,Location,Tweet,Flag
atxleb,,@theinstantwin @JKDAnthony10 @grantstern @TheDemCoalition Because they’d be prosecuting government officials?,
ShayneOfficial,,@SailorZZtar It’s actually cheaper to eat on the right. That’s multiple days worth of food. The McD’s is just one meal during the day,
JamesJgm26,,I will kill trump just to piss off the Russians,
VerucaMarie,,@DJSlash always. We had to put the rock to sleep early tonight because Layla was really tired.,
Her_Masterpiece,"New York, USA",Just passed by a house with their icicle lights and wreath still up.,
